time,client_id,pressureStatus
2019-07-13 07:15:40,node16,1
2019-07-13 07:47:39,node16,0
2019-07-13 18:01:34,node16,1
2019-07-13 18:36:36,node16,0
2019-07-14 07:42:35,node16,1
2019-07-14 08:03:36,node16,0
2019-07-14 17:43:45,node16,1
2019-07-14 18:07:50,node16,0
2019-07-15 07:27:52,node16,1
2019-07-15 07:59:16,node16,0
2019-07-15 17:28:39,node16,1
2019-07-15 17:41:34,node16,0
2019-07-16 07:40:50,node16,1
2019-07-16 08:17:55,node16,0
2019-07-16 17:53:43,node16,1
2019-07-16 18:29:43,node16,0
2019-07-17 08:16:25,node16,1
2019-07-17 08:58:27,node16,0
2019-07-17 18:04:28,node16,1
2019-07-17 18:33:29,node16,0
2019-07-18 07:21:21,node16,1
2019-07-18 07:54:11,node16,0
2019-07-18 16:49:01,node16,1
2019-07-18 17:09:06,node16,0
2019-07-19 07:53:21,node16,1
2019-07-19 08:37:16,node16,0
2019-07-19 18:17:22,node16,1
2019-07-19 18:29:25,node16,0
