time,client_id,pressureStatus
2019-07-13 20:58:42,node10,1
2019-07-13 20:58:49,node10,0
2019-07-13 21:00:34,node10,1
2019-07-13 21:00:36,node10,0
2019-07-13 21:02:55,node10,1
2019-07-13 21:02:57,node10,0
2019-07-13 21:12:35,node10,1
2019-07-13 21:13:11,node10,0
2019-07-13 21:40:05,node10,1
2019-07-13 21:40:48,node10,0
2019-07-14 09:13:35,node10,1
2019-07-14 09:13:38,node10,0
2019-07-14 10:06:40,node10,1
2019-07-14 10:06:50,node10,0
2019-07-14 12:24:27,node10,1
2019-07-14 12:24:41,node10,0
2019-07-14 13:22:13,node10,1
2019-07-14 13:22:19,node10,0
2019-07-14 13:22:20,node10,1
2019-07-14 13:22:21,node10,0
2019-07-14 13:22:22,node10,1
2019-07-14 13:22:23,node10,0
2019-07-14 13:23:07,node10,1
2019-07-14 13:23:09,node10,0
2019-07-14 13:24:50,node10,1
2019-07-14 13:24:51,node10,0
2019-07-14 13:24:57,node10,1
2019-07-14 13:24:58,node10,0
2019-07-14 13:25:13,node10,1
2019-07-14 13:25:14,node10,0
2019-07-14 13:25:20,node10,1
2019-07-14 13:25:21,node10,0
2019-07-14 13:25:23,node10,1
2019-07-14 13:25:24,node10,0
2019-07-14 13:25:26,node10,1
2019-07-14 13:25:27,node10,0
2019-07-14 13:25:32,node10,1
2019-07-14 13:25:33,node10,0
2019-07-14 13:39:51,node10,1
2019-07-14 13:40:58,node10,0
2019-07-14 13:41:04,node10,1
2019-07-14 13:41:19,node10,0
2019-07-14 19:51:22,node10,1
2019-07-14 19:51:26,node10,0
2019-07-14 20:17:38,node10,1
2019-07-14 20:24:39,node10,0
2019-07-14 20:30:03,node10,1
2019-07-14 20:33:03,node10,0
2019-07-14 21:16:02,node10,1
2019-07-14 21:31:46,node10,0
2019-07-14 21:33:09,node10,1
2019-07-14 21:34:03,node10,0
2019-07-14 21:49:41,node10,1
2019-07-14 21:58:26,node10,0
2019-07-14 22:26:30,node10,1
2019-07-14 23:10:47,node10,0
2019-07-15 10:47:12,node10,1
2019-07-15 11:13:56,node10,0
2019-07-15 13:58:39,node10,1
2019-07-15 14:14:34,node10,0
2019-07-15 14:15:24,node10,1
2019-07-15 14:28:57,node10,0
2019-07-15 14:28:58,node10,1
2019-07-15 14:29:00,node10,0
2019-07-15 14:29:04,node10,1
2019-07-15 14:29:33,node10,0
2019-07-15 14:31:00,node10,1
2019-07-15 14:31:04,node10,0
2019-07-15 14:31:06,node10,1
2019-07-15 14:31:08,node10,0
2019-07-15 14:31:08,node10,1
2019-07-15 14:31:10,node10,0
2019-07-15 14:31:27,node10,1
2019-07-15 14:31:30,node10,0
2019-07-15 14:31:33,node10,1
2019-07-15 14:31:40,node10,0
2019-07-15 14:31:44,node10,1
2019-07-15 14:31:45,node10,0
2019-07-15 14:31:46,node10,1
2019-07-15 14:32:04,node10,0
2019-07-15 14:32:06,node10,1
2019-07-15 14:32:10,node10,0
2019-07-15 14:32:12,node10,1
2019-07-15 14:32:12,node10,0
2019-07-15 14:32:20,node10,1
2019-07-15 14:32:23,node10,0
2019-07-15 14:32:24,node10,1
2019-07-15 14:32:25,node10,0
2019-07-15 14:33:17,node10,1
2019-07-15 15:00:50,node10,0
2019-07-15 16:43:02,node10,1
2019-07-15 18:02:06,node10,0
2019-07-15 18:28:46,node10,1
2019-07-15 18:28:47,node10,0
2019-07-15 18:28:57,node10,1
2019-07-15 18:29:01,node10,0
2019-07-15 18:29:20,node10,1
2019-07-15 18:29:23,node10,0
2019-07-15 18:29:24,node10,1
2019-07-15 18:29:27,node10,0
2019-07-15 18:29:30,node10,1
2019-07-15 18:29:34,node10,0
2019-07-15 18:30:08,node10,1
2019-07-15 18:30:16,node10,0
2019-07-15 18:30:24,node10,1
2019-07-15 18:30:29,node10,0
2019-07-15 18:32:28,node10,1
2019-07-15 18:59:51,node10,0
2019-07-15 19:13:30,node10,1
2019-07-15 19:46:49,node10,0
2019-07-15 20:08:57,node10,1
2019-07-15 20:50:08,node10,0
2019-07-15 21:16:30,node10,0
2019-07-15 21:16:32,node10,1
2019-07-15 21:16:33,node10,0
2019-07-15 22:22:26,node10,1
2019-07-15 22:22:28,node10,0
2019-07-15 22:27:25,node10,1
2019-07-15 22:41:24,node10,0
2019-07-16 10:50:50,node10,1
2019-07-16 10:50:55,node10,0
2019-07-16 12:24:43,node10,1
2019-07-16 12:31:43,node10,0
2019-07-16 12:39:55,node10,1
2019-07-16 13:32:07,node10,0
2019-07-16 13:32:11,node10,1
2019-07-16 13:32:14,node10,0
2019-07-16 13:32:16,node10,1
2019-07-16 13:32:17,node10,0
