time,client_id,pressureStatus
13-07-2019 09:01:00,node13,1
13-07-2019 09:22:00,node13,0
13-07-2019 21:33:00,node13,1
13-07-2019 21:52:00,node13,0
14-07-2019 08:31:00,node13,1
14-07-2019 08:58:00,node13,0
14-07-2019 21:28:00,node13,1
14-07-2019 21:40:00,node13,0
15-07-2019 08:35:00,node13,1
15-07-2019 08:49:00,node13,0
15-07-2019 21:05:00,node13,1
15-07-2019 21:20:00,node13,0
16-07-2019 08:42:00,node13,1
16-07-2019 08:58:00,node13,0
16-07-2019 20:45:00,node13,1
16-07-2019 21:09:00,node13,0
17-07-2019 09:36:00,node13,1
17-07-2019 09:51:00,node13,0
17-07-2019 20:52:00,node13,1
17-07-2019 21:03:00,node13,0
18-07-2019 08:02:00,node13,1
18-07-2019 08:13:00,node13,0
18-07-2019 21:05:00,node13,1
18-07-2019 21:35:00,node13,0
19-07-2019 08:01:00,node13,1
19-07-2019 08:15:00,node13,0
19-07-2019 20:52:00,node13,1
19-07-2019 21:17:00,node13,0
