time,client_id,sensorReading
2019-07-13 20:58:01,node06,DoorOpened
2019-07-13 21:02:36,node06,DoorClosed
2019-07-13 21:03:20,node06,DoorOpened
2019-07-13 21:03:21,node06,DoorClosed
2019-07-14 09:10:37,node06,DoorOpened
2019-07-14 09:10:47,node06,DoorClosed
2019-07-15 01:16:59,node06,DoorOpened
2019-07-15 01:16:59,node06,DoorClosed
2019-07-15 09:11:09,node06,DoorOpened
2019-07-15 09:11:16,node06,DoorClosed
2019-07-15 10:46:53,node06,DoorOpened
2019-07-15 10:47:16,node06,DoorClosed
2019-07-16 03:58:19,node06,DoorOpened
2019-07-16 03:59:59,node06,DoorClosed
2019-07-16 04:13:55,node06,DoorOpened
2019-07-16 04:37:20,node06,DoorClosed
2019-07-17 10:56:54,node06,DoorOpened
2019-07-17 11:01:17,node06,DoorClosed
2019-07-17 11:14:17,node06,DoorOpened
2019-07-17 11:14:24,node06,DoorClosed
2019-07-17 14:19:27,node06,DoorOpened
2019-07-17 14:19:36,node06,DoorClosed
2019-07-18 10:13:59,node06,DoorOpened
2019-07-18 10:14:16,node06,DoorClosed
2019-07-18 18:04:16,node06,DoorOpened
2019-07-18 18:04:41,node06,DoorClosed
2019-07-18 19:12:26,node06,DoorOpened
2019-07-18 19:16:05,node06,DoorClosed
2019-07-18 19:16:11,node06,DoorOpened
2019-07-18 19:17:04,node06,DoorClosed
2019-07-19 04:53:47,node06,DoorOpened
2019-07-19 04:53:50,node06,DoorClosed
2019-07-19 04:53:50,node06,DoorOpened
2019-07-19 04:53:50,node06,DoorClosed
