time,client_id,pressureStatus
2019-07-13 08:22:42,node11,1
2019-07-13 08:43:49,node11,0
2019-07-14 08:15:35,node11,1
2019-07-14 08:34:38,node11,0
2019-07-14 17:13:40,node11,1
2019-07-14 17:32:50,node11,0
2019-07-15 08:23:12,node11,1
2019-07-15 08:31:56,node11,0
2019-07-15 16:58:39,node11,1
2019-07-15 17:17:34,node11,0
2019-07-16 08:22:50,node11,1
2019-07-16 08:34:55,node11,0
2019-07-17 08:13:25,node11,1
2019-07-17 08:29:27,node11,0
2019-07-17 17:32:28,node11,1
2019-07-17 17:47:29,node11,0
2019-07-18 07:30:21,node11,1
2019-07-18 07:46:11,node11,0
2019-07-19 07:02:21,node11,1
2019-07-19 07:22:16,node11,0
2019-07-19 18:04:22,node11,1
2019-07-19 18:24:25,node11,0
